Coordinates,Pair,Species,Genus,Family,Strategy,Plant,Sample,Original mass,Dry mass,Volume,Density,Moisture ,Ignition_Time,Obs_Burn_Time,Burn_Time,Completion,Completion_binary,Dry mass reading,Tape Mass,Comments
"35°32'44.8""S 150°22'10.4""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,5,2,0.52,0.23,0.42,0.547619048,0.29,1.53,53,51.47,complete,1,0.32,0.09,
"35°32'44.8""S 150°22'10.4""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,5,3,0.69,0.35,0.58,0.603448276,0.34,1.56,53,51.44,complete,1,0.4,0.05,
"35°32'44.8""S 150°22'10.4""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,5,4,0.64,0.34,0.57,0.596491228,0.3,3.02,50,46.98,complete,1,0.38,0.04,
"35°32'44.8""S 150°22'10.4""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,5,5,1.7,1,1.5,0.666666667,0.7,4.7,112,107.3,complete,1,1.07,0.07,
"35°32'38.4""S 150°21'54.5""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,1,5,0.45,0.16,0.45,0.355555556,0.29,0,37,37,complete,1,0.18,0.02,fell off because top burnt first #stupidstick - fire jumps up highly flammable bark a lot
"35°32'38.4""S 150°21'54.5""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,2,2,0.05,0.04,0.11,0.363636364,0.01,0,9,9,complete,1,0.08,0.04,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,2,4,0.12,0.05,0.11,0.454545455,0.07,0,23.58,23.58,complete,1,0.11,0.06,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,2,5,0.22,0.11,0.2,0.55,0.11,4.93,30.95,26.02,complete,1,0.17,0.06,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,3,2,0.26,0.13,0.23,0.565217391,0.13,1.33,33.94,32.61,complete,1,0.2,0.07,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,3,3,0.24,0.11,0.21,0.523809524,0.13,2.69,138.2,135.51,complete,1,0.2,0.09,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,4,3,0.18,0.13,0.16,0.8125,0.05,0.85,25.63,24.78,complete,1,0.18,0.05,
"35°32'42.3""S 150°22'38.3""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,5,2,0.28,0.15,0.24,0.625,0.13,1.73,41.7,39.97,complete,1,0.2,0.05,
"35°32'32.5""S 150°23'05.6""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,1,2,0.12,0.05,0.11,0.454545455,0.07,0,10,10,complete,1,0.15,0.1,
"35°32'32.5""S 150°23'05.6""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,1,3,0.13,0.06,0.12,0.5,0.07,1.14,10,8.86,complete,1,0.15,0.09,
"35°32'32.5""S 150°23'05.6""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,1,4,0.13,0.04,0.09,0.444444444,0.09,0,10,10,complete,1,0.14,0.1,
"35°32'32.5""S 150°23'05.6""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,1,5,0.11,0.05,0.09,0.555555556,0.06,14,24,10,complete,1,0.1,0.05,
"35°32'32.5""S 150°23'05.6""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,2,2,0.1,0.05,0.09,0.555555556,0.05,2.86,19,16.14,complete,1,0.15,0.1,
"35°32'32.5""S 150°23'05.6""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,2,3,0.09,0.04,0.08,0.5,0.05,0,18,18,complete,1,0.15,0.11,
"35°32'32.5""S 150°23'05.6""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,2,4,0.12,0.05,0.11,0.454545455,0.07,25.43,37,11.57,complete,1,0.16,0.11,
"35°32'32.5""S 150°23'05.6""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,2,5,0.11,0.05,0.08,0.625,0.06,1.13,32,30.87,complete,1,0.12,0.07,
"35°32'27.8""S 150°23'06.3""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,3,2,0.06,0.03,0.05,0.6,0.03,0,18,18,complete,1,0.14,0.11,
"35°32'27.8""S 150°23'06.3""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,3,3,0.06,0.03,0.03,1,0.03,0,14,14,complete,1,0.12,0.09,
"35°32'27.8""S 150°23'06.3""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,3,5,0.07,0.02,0.04,0.5,0.05,0,30,30,complete,1,0.11,0.09,
"35°32'29.2""S 150°23'06.0""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,4,2,0.07,0.03,0.06,0.5,0.04,2.21,12,9.79,complete,1,0.12,0.09,
"35°32'29.2""S 150°23'06.0""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,4,3,0.11,0.05,0.09,0.555555556,0.06,4.38,34,29.62,complete,1,0.16,0.11,
"35°32'29.2""S 150°23'06.0""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,4,4,0.09,0.04,0.06,0.666666667,0.05,5.84,37,31.16,complete,1,0.13,0.09,
"35°32'29.2""S 150°23'06.0""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,4,5,0.12,0.06,0.09,0.666666667,0.06,1.36,29,27.64,complete,1,0.14,0.08,
"35°32'29.2""S 150°23'06.0""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,5,2,0.18,0.07,0.14,0.5,0.11,1.75,35,33.25,complete,1,0.15,0.08,
"35°32'29.2""S 150°23'06.0""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,5,3,0.13,0.08,0.1,0.8,0.05,0,23,23,complete,1,0.15,0.07,
"35°32'29.2""S 150°23'06.0""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,5,5,0.09,0.04,0.06,0.666666667,0.05,0,15,15,complete,1,0.11,0.07,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,1,2,0.14,0.07,0.14,0.5,0.07,0,20,20,complete,1,0.12,0.05,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,2,1,0.16,0.08,0.15,0.533333333,0.08,0.7,38,37.3,complete,1,0.13,0.05,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,2,2,0.39,0.22,0.34,0.647058824,0.17,0.2,41,40.8,complete,1,0.26,0.04,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,2,3,0.26,0.13,0.19,0.684210526,0.13,0,17,17,complete,1,0.18,0.05,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,2,4,0.21,0.1,0.17,0.588235294,0.11,1.17,42,40.83,complete,1,0.16,0.06,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,2,5,0.21,0.11,0.18,0.611111111,0.1,0.5,17,16.5,complete,1,0.15,0.04,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,3,2,0.15,0.09,0.12,0.75,0.06,0,18,18,complete,1,0.14,0.05,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,3,3,0.13,0.08,0.13,0.615384615,0.05,0,34,34,complete,1,0.14,0.06,
"35°32'28.7""S 150°23'06.1""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,4,1,0.17,0.09,0.14,0.642857143,0.08,0.92,43,42.08,complete,1,0.14,0.05,
"35°32'28.7""S 150°23'06.1""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,4,2,0.14,0.06,0.13,0.461538462,0.08,0.4,13,12.6,complete,1,0.1,0.04,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,5,1,0.15,0.07,0.12,0.583333333,0.08,0.37,14,13.63,complete,1,0.12,0.05,
"35°32'45.2""S 150°23'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,1,4,0.27,0.21,0.21,1,0.06,1.42,42,40.58,complete,1,0.23,0.02,
"35°32'45.2""S 150°23'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,1,5,0.26,0.17,0.21,0.80952381,0.09,0.53,32,31.47,complete,1,0.17,0,
"35°32'45.7""S 150°22'20.1""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,2,1,0.55,0.35,0.52,0.673076923,0.2,1.92,32,30.08,complete,1,0.44,0.09,
"35°32'45.1""S 150°22'20.3""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,4,1,0.23,0.12,0.17,0.705882353,0.11,1.74,87,85.26,complete,1,0.17,0.05,
"35°32'45.1""S 150°22'20.3""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,4,2,0.35,0.21,0.28,0.75,0.14,3.15,116,112.85,complete,1,0.26,0.05,
"35°32'45.1""S 150°22'20.3""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,4,5,0.17,0.11,0.13,0.846153846,0.06,1.95,50,48.05,complete,1,0.16,0.05,
"35°32'45.1""S 150°22'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,5,1,0.23,0.13,0.2,0.65,0.1,0.46,108,107.54,complete,1,0.17,0.04,
"35°32'45.1""S 150°22'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,5,4,0.37,0.22,0.33,0.666666667,0.15,0.6,149,148.4,complete,1,0.28,0.06,
"35°32'39.3""S 150°23'06.1""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,1,1,0.35,0.18,0.31,0.580645161,0.17,2.24,32,29.76,complete,1,0.23,0.05,
"35°32'37.7""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,1,2,0.12,0.07,0.1,0.7,0.05,3.71,44,40.29,complete,1,0.09,0.02,
"35°32'37.7""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,1,3,0.06,0.04,0.04,1,0.02,3.81,26,22.19,complete,1,0.06,0.02,
"35°32'37.7""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,1,4,0.08,0.06,0.08,0.75,0.02,0,24,24,complete,1,0.08,0.02,
"35°32'37.7""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,1,5,0.1,0.07,0.08,0.875,0.03,0,39,39,complete,1,0.09,0.02,
"35°32'37.6""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,2,1,0.08,0.04,0.06,0.666666667,0.04,0.5,140,139.5,complete,1,0.08,0.04,
"35°32'37.6""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,2,2,0.16,0.07,0.13,0.538461538,0.09,1.46,26,24.54,complete,1,0.12,0.05,
"35°32'37.6""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,2,4,0.18,0.08,0.15,0.533333333,0.1,0.92,23,22.08,complete,1,0.11,0.03,
"35°32'37.6""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,3,1,0.15,0.05,0.14,0.357142857,0.1,0,9,9,complete,1,0.1,0.05,
"35°32'37.6""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,3,5,0.17,0.11,0.16,0.6875,0.06,1.26,31,29.74,complete,1,0.15,0.04,
"35°32'36.5""S 150°23'04.4""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,4,2,0.09,0.04,0.07,0.571428571,0.05,1.65,54,52.35,complete,1,0.06,0.02,
"35°32'36.5""S 150°23'04.4""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,4,3,0.11,0.04,0.09,0.444444444,0.07,1.86,53,51.14,complete,1,0.07,0.03,
"35°32'36.5""S 150°23'04.4""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,4,5,0.13,0.06,0.09,0.666666667,0.07,2.61,54,51.39,complete,1,0.08,0.02,
"35°32'37.2""S 150°23'04.1""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,2,4,0.13,0.07,0.12,0.583333333,0.06,0.5,28,27.5,complete,1,0.09,0.02,
"35°32'37.2""S 150°23'04.1""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,3,1,0.21,0.1,0.18,0.555555556,0.11,7.24,62,54.76,complete,1,0.12,0.02,
"35°32'44.3""S 150°22'07.6""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,1,1,0.55,0.22,0.53,0.41509434,0.33,5.3,49,43.7,complete,1,0.29,0.07,
"35°32'43.7""S 150°22'05.9""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,2,3,0.4,0.16,0.51,0.31372549,0.24,10.39,50,39.61,complete,1,0.22,0.06,
"35°32'43.7""S 150°22'05.9""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,2,5,0.52,0.24,0.48,0.5,0.28,1.73,36,34.27,complete,1,0.3,0.06,
"35°32'43.4""S 150°22'03.4""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,3,1,0.52,0.23,0.47,0.489361702,0.29,1.66,51,49.34,complete,1,0.29,0.06,
"35°32'38.7""S 150°21'56.9""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,4,4,0.46,0.2,0.44,0.454545455,0.26,4.06,47,42.94,complete,1,0.29,0.09,
"35°32'38.7""S 150°21'56.9""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,4,5,0.69,0.33,0.66,0.5,0.36,6.92,67,60.08,complete,1,0.41,0.08,
"35°32'37.9""S 150°21'52.4""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,5,5,0.44,0.2,0.39,0.512820513,0.24,14.98,51,36.02,complete,1,0.28,0.08,
"35°32'40.1""S 150°23'01.1""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,3,1,1.3,0.35,1.11,0.315315315,0.95,1.7,68,68,complete,1,0.38,0.03,
"35°32'40.1""S 150°23'01.1""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,3,2,0.94,0.5,0.78,0.641025641,0.44,3.66,58,58,complete,1,0.53,0.03,
"35°32'39.9""S 150°23'02.1""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,4,2,1.63,0.99,1.62,0.611111111,0.64,3.12,77,73.88,complete,1,1.02,0.03,
"35°32'39.5""S 150°23'06.6""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,1,1,1.02,0.51,0.9,0.566666667,0.51,7,40,33,incomplete,0,0.56,0.05,
"35°32'39.5""S 150°23'06.6""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,1,2,1.15,0.64,1,0.64,0.51,26,188,162,incomplete,0,0.66,0.02,
"35°32'39.5""S 150°23'06.6""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,1,3,0.82,0.44,0.72,0.611111111,0.38,2.7,26.19,23.49,incomplete,0,0.47,0.03,
"35°32'39.5""S 150°23'06.6""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,1,4,0.91,0.49,0.82,0.597560976,0.42,2.29,74.99,72.7,incomplete,0,0.53,0.04,
"35°32'39.5""S 150°23'06.6""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,1,5,0.85,0.44,0.75,0.586666667,0.41,2.72,86.37,83.65,incomplete,0,0.49,0.05,
"35°32'39.9""S 150°23'06.9""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,2,1,1.6,0.79,1.42,0.556338028,0.81,0,130.41,130.41,incomplete,0,0.84,0.05,
"35°32'39.9""S 150°23'06.9""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,2,2,1.34,0.63,1.39,0.45323741,0.71,2.8,100,97.2,incomplete,0,0.67,0.04,#leaflitterpower
"35°32'39.9""S 150°23'06.9""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,2,3,1.36,0.65,1.2,0.541666667,0.71,10.61,73.46,62.85,incomplete,0,0.71,0.06,
"35°32'39.9""S 150°23'06.9""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,2,4,1.22,0.58,1.1,0.527272727,0.64,1.46,191,189.54,incomplete,0,0.63,0.05,
"35°32'39.9""S 150°23'06.9""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,2,5,1.72,0.82,1.53,0.535947712,0.9,1.94,170.36,168.42,incomplete,0,0.87,0.05,
"35°32'39.8""S 150°23'07.7""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,3,1,0.93,0.4,0.81,0.49382716,0.53,1.86,93.58,91.72,incomplete,0,0.43,0.03,
"35°32'39.8""S 150°23'07.7""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,3,2,1.17,0.47,1.13,0.415929204,0.7,0,78.02,78.02,incomplete,0,0.52,0.05,
"35°32'39.8""S 150°23'07.7""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,3,3,0.92,0.37,0.86,0.430232558,0.55,1.56,126.11,124.55,incomplete,0,0.42,0.05,#hit a node and stopped
"35°32'39.8""S 150°23'07.7""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,3,4,0.85,0.38,0.76,0.5,0.47,0.52,180,179.48,incomplete,0,0.43,0.05,
"35°32'39.8""S 150°23'07.7""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,3,5,0.92,0.44,0.9,0.488888889,0.48,2.35,59.59,57.24,incomplete,0,0.49,0.05,
"35°32'44.4""S 150°23'05.2""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,4,1,1.58,0.73,1.48,0.493243243,0.85,3.43,55,51.57,incomplete,0,0.78,0.05,
"35°32'44.4""S 150°23'05.2""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,4,2,1.01,0.44,1,0.44,0.57,1.45,100.33,98.88,incomplete,0,0.47,0.03,
"35°32'44.4""S 150°23'05.2""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,4,3,1.06,0.37,0.95,0.389473684,0.69,1.34,23.77,22.43,incomplete,0,0.44,0.07,
"35°32'44.4""S 150°23'05.2""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,4,4,1.76,0.78,1.64,0.475609756,0.98,1.9,115.76,113.86,incomplete,0,0.84,0.06,
"35°32'44.4""S 150°23'05.2""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,4,5,1.03,0.49,0.98,0.5,0.54,4.12,133.88,129.76,incomplete,0,0.55,0.06,
"35°32'44.6""S 150°23'04.6""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,5,1,1.17,0.65,1,0.65,0.52,0,65.05,65.05,incomplete,0,0.71,0.06,
"35°32'44.6""S 150°23'04.6""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,5,2,1.77,0.98,1.59,0.616352201,0.79,2.65,171.56,168.91,incomplete,0,1.04,0.06,
"35°32'44.6""S 150°23'04.6""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,5,3,2.55,1.33,2.22,0.599099099,1.22,1.77,121,119.23,incomplete,0,1.39,0.06,
"35°32'44.6""S 150°23'04.6""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,5,4,1.75,1.05,1.47,0.714285714,0.7,3.01,180,176.99,incomplete,0,1.12,0.07,
"35°32'44.6""S 150°23'04.6""E",7,Acacia_longifolia,Acacia,Fabaceae,Seeder,5,5,1.94,1.16,1.61,0.720496894,0.78,3.21,346,342.79,incomplete,0,1.23,0.07,
"35°32'45.7""S 150°22'20.2""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,1,3,0.67,0.35,0.54,0.648148148,0.32,3.4,123,119.6,incomplete,0,0.37,0.02,
"35°32'45.7""S 150°22'20.2""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,1,4,0.57,0.38,0.52,0.730769231,0.19,16.59,74,57.41,incomplete,0,0.41,0.03,
"35°32'45.7""S 150°22'20.2""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,1,5,0.94,0.5,0.78,0.641025641,0.44,4.62,32,27.38,incomplete,0,0.56,0.06,
"35°32'44.5""S 150°22'10.6""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,3,4,0.48,0.25,0.42,0.595238095,0.23,1.26,86,84.74,incomplete,0,0.31,0.06,
"35°32'44.5""S 150°22'10.4""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,4,1,1.05,0.6,0.92,0.652173913,0.45,4.37,93,88.63,incomplete,0,0.66,0.06,
"35°32'44.5""S 150°22'10.4""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,4,5,0.3,0.16,0.26,0.615384615,0.14,1.35,50,48.65,incomplete,0,0.2,0.04,
"35°32'38.4""S 150°21'54.5""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,1,1,0.14,0.04,0.13,0.307692308,0.1,0.7,51,50.3,incomplete,0,0.05,0.01,
"35°32'38.4""S 150°21'54.5""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,1,2,0.09,0.08,0.07,1.142857143,0.01,3.2,39,35.8,incomplete,0,0.1,0.02,Bark very flammable and sticks mostly wonky af. Those straight were completed.
"35°32'38.4""S 150°21'54.5""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,1,3,0.3,0.1,0.28,0.357142857,0.2,1.13,62,60.87,incomplete,0,0.12,0.02,
"35°32'38.4""S 150°21'54.5""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,1,4,0.38,0.12,0.36,0.333333333,0.26,1.32,80,78.68,incomplete,0,0.14,0.02,
"35°32'38.4""S 150°21'54.5""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,2,1,0.25,0.11,0.25,0.44,0.14,0,55,55,incomplete,0,0.14,0.03,
"35°32'38.4""S 150°21'54.5""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,2,3,0.4,0.17,0.39,0.435897436,0.23,1.4,27,25.6,incomplete,0,0.21,0.04,
"35°32'38.4""S 150°21'54.5""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,2,4,0.23,0.09,0.23,0.391304348,0.14,1.16,32,30.84,incomplete,0,0.14,0.05,
"35°32'38.4""S 150°21'54.5""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,2,5,0.31,0.1,0.31,0.322580645,0.21,0,40,40,incomplete,0,0.14,0.04,
"35°32'37.1""S 150°21'50.3""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,3,1,0.15,0.08,0.14,0.571428571,0.07,0.2,20,19.8,incomplete,0,0.13,0.05,
"35°32'37.1""S 150°21'50.3""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,3,2,0.13,0.07,0.1,0.7,0.06,1.03,51,49.97,incomplete,0,0.12,0.05,
"35°32'37.1""S 150°21'50.3""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,3,3,0.23,0.03,0.26,0.115384615,0.2,0,21,21,incomplete,0,0.09,0.06,
"35°32'37.1""S 150°21'50.3""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,3,4,0.18,0.12,0.23,0.52173913,0.06,0.76,68,67.24,incomplete,0,0.16,0.04,
"35°32'37.1""S 150°21'50.3""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,3,5,0.25,0.09,0.22,0.409090909,0.16,0.82,72,71.18,incomplete,0,0.13,0.04,
